titulacion;universidad;facultad;provincia;comunidad_autonoma;nota_actual;nota_anterior;nota_maxima;universidad_nota_maxima;nota_minima;universidad_nota_minima
Ingeniería Agrícola y del Medio Rural;Universidad de Valladolid;Escuela Técnica Superior de Ingenierías Agrarias;Palencia;Castilla y León;5,0;5,0;5,0;Varios;;Varios
Ingeniería Agrícola y del Medio Rural / Ingeniería Forestal y del Medio Natural;Universidad de Valladolid;Escuela Técnica Superior de Ingenierías Agrarias;Palencia;Castilla y León;5,929;5,0;5,929;Universidad de Valladolid;5,929;Universidad de Valladolid
Ingeniería Agrícola y del Medio Rural / Ingeniería de las Industrias Agrarias y Alimentarias;Universidad de Valladolid;Escuela Técnica Superior de Ingenierías Agrarias;Palencia;Castilla y León;5,78;5,0;5,78;Universidad de Valladolid;5,78;Universidad de Valladolid
Ingeniería Biomédica;Universidad de Valladolid;Facultad de Medicina;Valladolid;Castilla y León;12,29;11,4;12,886;Universidad Politécnica de Valencia;9,607;Universidad de Castilla-La Mancha
Ingeniería Civil;Universidad de Burgos;Escuela Politécnica Superior;Burgos;Castilla y León;5,0;5,0;10,567;Universidad de Sevilla;;Varios
Ingeniería Civil;Universidad de Salamanca;Escuela Politécnica Superior de Zamora;Zamora;Castilla y León;5,0;5,0;10,567;Universidad de Sevilla;;Varios
Ingeniería Civil;Universidad de Salamanca;Escuela Politécnica Superior de Ávila;Avila;Castilla y León;5,0;5,0;10,567;Universidad de Sevilla;;Varios
Ingeniería Civil / Arquitectura Técnica;Universidad de Burgos;Escuela Politécnica Superior;Burgos;Castilla y León;5,0;5,0;9,6;Universidad del País Vasco/Euskal Herriko Unibertsitatea;;Universidad de Burgos
Ingeniería Civil / Ingeniería de la Tecnología de Minas y Energía;Universidad de Salamanca;Escuela Politécnica Superior de Ávila;Avila;Castilla y León;5,0;5,0;5,0;Universidad de Salamanca;;Universidad de Salamanca
Ingeniería Electrónica Industrial y Automática;Universidad de Burgos;Escuela Politécnica Superior;Burgos;Castilla y León;5,0;5,0;10,839;Universidad Carlos III de Madrid;;Varios
