titulacion;universidad;facultad;provincia;comunidad_autonoma;nota_actual;nota_anterior;nota_maxima;universidad_nota_maxima;nota_minima;universidad_nota_minima
Administración y Dirección de Empresas;Universidad de Sevilla;Facultad de Ciencias Económicas y Empresariales;Sevilla;Andalucía;11,027;10,927;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad Pablo de Olavide;Facultad de Ciencias Empresariales;Sevilla;Andalucía;10,945;11,1;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Granada;Facultad de Ciencias Económicas y Empresariales;Granada;Andalucía;10,415;10,05;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Málaga;Facultad de Ciencias Económicas y Empresariales;Málaga;Andalucía;9,326;9,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Córdoba;Facultad de Derecho y Ciencias Económicas y Empresariales;Córdoba;Andalucía;9,077;8,76;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Cádiz;Facultad de Ciencias Económicas y Empresariales. Sede en Jerez;Cádiz;Andalucía;6,708;6,4;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Almería;Facultad de Ciencias Económicas y Empresariales;Almería;Andalucía;5,731;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Jaén;Facultad de Ciencias Sociales y Jurídicas;Jaén;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Cádiz;Facultad de Ciencias Económicas y Empresariales. Sede en Algeciras;Cádiz;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Cádiz;Facultad de Ciencias Económicas y Empresariales;Cádiz;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Huelva;Facultad de Ciencias Empresariales y Turismo;Huelva;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Sevilla;Centro Universitario de Osuna (centro adscrito);Sevilla;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad Pablo de Olavide;Centro Universitario San Isidoro (centro adscrito);Sevilla;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas / Derecho;Universidad Pablo de Olavide;Facultad de Derecho;Sevilla;Andalucía;11,858;9,653;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Málaga;Facultad de Ciencias Económicas y Empresariales;Málaga;Andalucía;11,572;11,26;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Granada;Facultad de Ciencias Económicas y Empresariales;Granada;Andalucía;11,177;10,48;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Almería;Facultad de Ciencias Económicas y Empresariales;Almería;Andalucía;11,159;5,0;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Sevilla;Facultad de Ciencias Económicas y Empresariales;Sevilla;Andalucía;10,939;11,7;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad Pablo de Olavide;Facultad de Ciencias Empresariales;Sevilla;Andalucía;10,776;12,16;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Cádiz;Facultad de Derecho;Cádiz;Andalucía;9,62;5,0;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Huelva;Facultad de Ciencias Empresariales y Turismo;Huelva;Andalucía;9,62;5,63;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Córdoba;Facultad de Derecho y Ciencias Económicas y Empresariales;Córdoba;Andalucía;7,73;9,0;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Jaén;Facultad de Ciencias Sociales y Jurídicas;Jaén;Andalucía;5,0;5,0;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad Pablo de Olavide;Centro Universitario San Isidoro (centro adscrito);Sevilla;Andalucía;5,0;5,0;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Economía;Universidad de Málaga;Facultad de Ciencias Económicas y Empresariales;Málaga;Andalucía;11,237;9,68;12,375;Universidad del País Vasco/Euskal Herriko Unibertsitatea;6,069;Universidad de Extremadura
Administración y Dirección de Empresas / Finanzas y Contabilidad;Universidad de Sevilla;Facultad de Ciencias Económicas y Empresariales;Sevilla;Andalucía;11,516;;11,516;Universidad de Sevilla;;Varios
Administración y Dirección de Empresas / Finanzas y Contabilidad;Universidad de Jaén;Facultad de Ciencias Sociales y Jurídicas;Jaén;Andalucía;8,413;6,33;11,516;Universidad de Sevilla;;Varios
Administración y Dirección de Empresas / Finanzas y Contabilidad;Universidad de Huelva;Facultad de Ciencias Empresariales y Turismo;Huelva;Andalucía;5,0;5,0;11,516;Universidad de Sevilla;;Varios
Administración y Dirección de Empresas / Finanzas y Contabilidad;Universidad de Cádiz;Facultad de Ciencias Económicas y Empresariales;Cádiz;Andalucía;5,0;5,0;11,516;Universidad de Sevilla;;Varios
Administración y Dirección de Empresas / Turismo;Universidad de Huelva;Facultad de Ciencias Empresariales y Turismo;Huelva;Andalucía;5,0;5,0;8,8;Universidad de las Illes Balears;;Varios
Antropología Social y Cultural;Universidad de Sevilla;Facultad de Geografía e Historia;Sevilla;Andalucía;5,0;5,0;5,0;Varios;;Varios
Antropología Social y Cultural;Universidad de Granada;Facultad de Filosofía y Letras;Granada;Andalucía;5,0;5,0;5,0;Varios;;Varios
Análisis Económico;Universidad Pablo de Olavide;Facultad de Ciencias Empresariales;Sevilla;Andalucía;5,0;5,0;5,0;Universidad Pablo de Olavide;;Universidad Pablo de Olavide
Arqueología;Universidad de Sevilla;Facultad de Geografía e Historia;Sevilla;Andalucía;5,0;5,0;5,0;Varios;;Varios
Arqueología;Universidad de Granada;Facultad de Filosofía y Letras;Granada;Andalucía;5,0;5,0;5,0;Varios;;Varios
Arqueología;Universidad de Jaén;Facultad de Humanidades y Ciencias de la Educación;Jaén;Andalucía;5,0;5,0;5,0;Varios;;Varios
Arquitectura Naval e Ingeniería Marítima;Universidad de Cádiz;Escuela de Ingeniería Naval y Oceánica;Cádiz;Andalucía;5,817;5,0;5,817;Universidad de Cádiz;5,817;Universidad de Cádiz
Bellas Artes;Universidad de Sevilla;Facultad de Bellas Artes;Sevilla;Andalucía;9,94;8,85;10,618;Universidad Politécnica de Valencia;;Varios
Bellas Artes;Universidad de Málaga;Facultad de Bellas Artes;Málaga;Andalucía;9,585;9,34;10,618;Universidad Politécnica de Valencia;;Varios
Bellas Artes;Universidad de Granada;Facultad de Bellas Artes;Granada;Andalucía;9,552;8,64;10,618;Universidad Politécnica de Valencia;;Varios
Biología;Universidad de Sevilla;Facultad de Biología;Sevilla;Andalucía;10,822;9,69;11,494;Universitat de València (Estudi General);;Universidad de Vic - Universidad Central de Cataluña
Biología;Universidad de Granada;Facultad de Ciencias;Granada;Andalucía;9,905;8,75;11,494;Universitat de València (Estudi General);;Universidad de Vic - Universidad Central de Cataluña
Biología;Universidad de Málaga;Facultad de Ciencias;Málaga;Andalucía;9,75;9,16;11,494;Universitat de València (Estudi General);;Universidad de Vic - Universidad Central de Cataluña
Biología;Universidad de Córdoba;Facultad de Ciencias;Córdoba;Andalucía;8,53;6,78;11,494;Universitat de València (Estudi General);;Universidad de Vic - Universidad Central de Cataluña
Biología;Universidad de Jaén;Facultad de Ciencias Experimentales;Jaén;Andalucía;8,35;6,56;11,494;Universitat de València (Estudi General);;Universidad de Vic - Universidad Central de Cataluña
Biomedicina Básica y Experimental;Universidad de Sevilla;Facultad de Medicina;Sevilla;Andalucía;13,46;13,21;13,46;Universidad de Sevilla;13,46;Universidad de Sevilla
Bioquímica;Universidad de Sevilla;Facultad de Biología;Sevilla;Andalucía;12,853;12,38;12,853;Universidad de Sevilla;7,332;Universidad de Santiago de Compostela
Bioquímica;Universidad de Granada;Facultad de Ciencias;Granada;Andalucía;12,412;11,71;12,853;Universidad de Sevilla;7,332;Universidad de Santiago de Compostela
Bioquímica;Universidad de Málaga;Facultad de Ciencias;Málaga;Andalucía;11,933;11,68;12,853;Universidad de Sevilla;7,332;Universidad de Santiago de Compostela
Bioquímica;Universidad de Córdoba;Facultad de Ciencias;Córdoba;Andalucía;11,48;10,88;12,853;Universidad de Sevilla;7,332;Universidad de Santiago de Compostela
Biotecnología;Universidad de Granada;Facultad de Ciencias;Granada;Andalucía;12,784;12,49;12,925;Universidad Politécnica de Madrid;;Universidad de Vic - Universidad Central de Cataluña
Biotecnología;Universidad Pablo de Olavide;Facultad de Ciencias Experimentales;Sevilla;Andalucía;12,439;12,39;12,925;Universidad Politécnica de Madrid;;Universidad de Vic - Universidad Central de Cataluña
Biotecnología;Universidad de Cádiz;Facultad de Ciencias;Cádiz;Andalucía;11,549;10,98;12,925;Universidad Politécnica de Madrid;;Universidad de Vic - Universidad Central de Cataluña
Biotecnología;Universidad de Córdoba;Facultad de Ciencias;Córdoba;Andalucía;11,275;10,97;12,925;Universidad Politécnica de Madrid;;Universidad de Vic - Universidad Central de Cataluña
Biotecnología;Universidad de Almería;Facultad de Ciencias Experimentales;Almería;Andalucía;10,567;10,23;12,925;Universidad Politécnica de Madrid;;Universidad de Vic - Universidad Central de Cataluña
Ciberseguridad e Inteligencia Artificial;Universidad de Málaga;Escuela Técnica Superior de Ingeniería Informática;Málaga;Andalucía;12,406;12,2;12,406;Universidad de Málaga;12,406;Universidad de Málaga
Ciencia y Tecnología de los Alimentos;Universidad de Granada;Facultad de Farmacia;Granada;Andalucía;7,52;7,38;10,222;Universidad de Zaragoza;;Varios
Ciencia y Tecnología de los Alimentos;Universidad de Córdoba;Facultad de Veterinaria;Córdoba;Andalucía;5,0;10,92;10,222;Universidad de Zaragoza;;Varios
Ciencias Ambientales;Universidad Pablo de Olavide;Facultad de Ciencias Experimentales;Sevilla;Andalucía;5,0;5,0;9,319;Universitat de València (Estudi General);;Varios
Ciencias Ambientales;Universidad de Granada;Facultad de Ciencias;Granada;Andalucía;5,0;5,0;9,319;Universitat de València (Estudi General);;Varios
Ciencias Ambientales;Universidad de Málaga;Facultad de Ciencias;Málaga;Andalucía;5,0;5,0;9,319;Universitat de València (Estudi General);;Varios
Ciencias Ambientales;Universidad de Cádiz;Facultad de Ciencias del Mar y Ambientales;Cádiz;Andalucía;5,0;5,0;9,319;Universitat de València (Estudi General);;Varios
Ciencias Ambientales;Universidad de Córdoba;Facultad de Ciencias;Córdoba;Andalucía;5,0;5,0;9,319;Universitat de València (Estudi General);;Varios
Ciencias Ambientales;Universidad de Jaén;Facultad de Ciencias Experimentales;Jaén;Andalucía;5,0;5,0;9,319;Universitat de València (Estudi General);;Varios
Ciencias Ambientales;Universidad de Huelva;Facultad de Ciencias Experimentales;Huelva;Andalucía;5,0;5,0;9,319;Universitat de València (Estudi General);;Varios
Ciencias Ambientales;Universidad de Almería;Facultad de Ciencias Experimentales;Almería;Andalucía;5,0;5,0;9,319;Universitat de València (Estudi General);;Varios
Ciencias Ambientales / Ciencias del Mar;Universidad de Cádiz;Facultad de Ciencias del Mar y Ambientales;Cádiz;Andalucía;5,0;5,0;5,0;Universidad de Cádiz;;Universidad de Cádiz
Ciencias Ambientales / Geografía e Historia;Universidad Pablo de Olavide;Facultad de Ciencias Experimentales;Sevilla;Andalucía;5,0;5,0;5,0;Universidad Pablo de Olavide;;Universidad Pablo de Olavide
Ciencias Ambientales / Ingeniería Forestal y del Medio Natural;Universidad de Huelva;Facultad de Ciencias Experimentales;Huelva;Andalucía;5,0;5,0;5,0;Varios;;Varios
Ciencias Gastronómicas y Gestión Hotelera;Universidad de Málaga;Facultad de Turismo;Málaga;Andalucía;5,0;5,0;5,0;Universidad de Málaga;;Universidad de Málaga
Ciencias Políticas y de la Administración;Universidad Pablo de Olavide;Facultad de Derecho;Sevilla;Andalucía;7,47;5,0;12,178;Universidad Autónoma de Madrid;;Varios
Ciencias Políticas y de la Administración;Universidad de Granada;Facultad de Ciencias Políticas y Sociología;Granada;Andalucía;5,0;5,0;12,178;Universidad Autónoma de Madrid;;Varios
Ciencias Políticas y de la Administración / Derecho;Universidad de Granada;Facultad de Ciencias Políticas y Sociología;Granada;Andalucía;8,18;7,58;11,006;Universidad de Barcelona;8,18;Universidad de Granada
Ciencias Políticas y de la Administración / Periodismo;Universidad de Málaga;Facultad de Ciencias de la Comunicación;Málaga;Andalucía;8,928;10,25;8,928;Universidad de Málaga;;Universidad de Granada
Ciencias Políticas y de la Administración / Periodismo;Universidad de Granada;Facultad de Ciencias Políticas y Sociología;Granada;Andalucía;5,0;8,53;8,928;Universidad de Málaga;;Universidad de Granada
Ciencias Políticas y de la Administración / Sociología;Universidad de Granada;Facultad de Ciencias Políticas y Sociología;Granada;Andalucía;5,0;6,45;5,0;Universidad de Granada;;Universidad de Granada
Ciencias de la Actividad Física y del Deporte;Universidad de Granada;Facultad de Ciencias del Deporte;Granada;Andalucía;11,881;11,46;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte;Universidad de Málaga;Facultad de Ciencias de la Educación;Málaga;Andalucía;11,863;11,61;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte;Universidad de Sevilla;Facultad de Ciencias de la Educación;Sevilla;Andalucía;11,418;11,325;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte;Universidad Pablo de Olavide;Facultad del Deporte;Sevilla;Andalucía;11,418;11,34;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte;Universidad de Cádiz;Facultad de Ciencias de la Educación;Cádiz;Andalucía;11,362;11,16;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte;Universidad de Huelva;Facultad de Educación, Psicología y Ciencias del Deporte;Huelva;Andalucía;11,106;10,79;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte;Universidad de Almería;Facultad de Ciencias de la Educación;Almería;Andalucía;11,082;11,02;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte;Universidad de Sevilla;Centro Universitario de Osuna (centro adscrito);Sevilla;Andalucía;9,487;5,0;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte;Universidad Pablo de Olavide;Centro Universitario San Isidoro (centro adscrito);Sevilla;Andalucía;5,0;5,0;11,881;Universidad de Granada;;Varios
Ciencias de la Actividad Física y del Deporte / Fisioterapia;Universidad de Sevilla;Facultad de Ciencias de la Educación;Sevilla;Andalucía;13,349;13,6;13,349;Universidad de Sevilla;5,168;Universidad de Girona
Ciencias de la Actividad Física y del Deporte / Fisioterapia;Universidad de Sevilla;Centro Universitario de Osuna (centro adscrito);Sevilla;Andalucía;11,05;11,92;13,349;Universidad de Sevilla;5,168;Universidad de Girona
Ciencias del Mar;Universidad de Cádiz;Facultad de Ciencias del Mar y Ambientales;Cádiz;Andalucía;6,059;5,0;10,684;Universidad de Alicante;;Universidad de Las Palmas de Gran Canaria
Ciencias del Mar / Ciencias Ambientales;Universidad de Cádiz;Facultad de Ciencias del Mar y Ambientales;Cádiz;Andalucía;6,359;5,0;6,359;Universidad de Cádiz;6,359;Universidad de Cádiz
Cine y Cultura;Universidad de Córdoba;Facultad de Filosofía y Letras;Córdoba;Andalucía;5,0;5,0;5,0;Universidad de Córdoba;;Universidad de Córdoba
Comunicación;Universidad Pablo de Olavide;Centro Universitario San Isidoro (centro adscrito);Sevilla;Andalucía;5,0;5,0;5,0;Universidad Pablo de Olavide;;Universidad Pablo de Olavide
Comunicación / Comunicación Digital;Universidad Pablo de Olavide;Centro Universitario San Isidoro (centro adscrito);Sevilla;Andalucía;5,0;5,0;5,0;Universidad Pablo de Olavide;;Universidad Pablo de Olavide
Comunicación Audiovisual;Universidad de Granada;Facultad de Comunicación y Documentación;Granada;Andalucía;9,599;10,01;11,412;Universidad Pompeu Fabra;;Varios
Comunicación Audiovisual;Universidad de Sevilla;Facultad de Comunicación;Sevilla;Andalucía;8,968;8,76;11,412;Universidad Pompeu Fabra;;Varios
Comunicación Audiovisual;Universidad de Málaga;Facultad de Ciencias de la Comunicación;Málaga;Andalucía;8,61;8,54;11,412;Universidad Pompeu Fabra;;Varios
Comunicación Audiovisual;Universidad de Sevilla;Centro Universitario EUSA (centro adscrito);Sevilla;Andalucía;5,0;5,0;11,412;Universidad Pompeu Fabra;;Varios
Comunicación Digital;Universidad Pablo de Olavide;Centro Universitario San Isidoro (centro adscrito);Sevilla;Andalucía;5,0;5,0;9,39;Universidad Rey Juan Carlos;;Varios
Conservación y Restauración de Bienes Culturales;Universidad de Sevilla;Facultad de Bellas Artes;Sevilla;Andalucía;8,54;7,34;8,733;Universidad Politécnica de Valencia;;Varios
Conservación y Restauración de Bienes Culturales;Universidad de Granada;Facultad de Bellas Artes;Granada;Andalucía;6,68;5,44;8,733;Universidad Politécnica de Valencia;;Varios
Criminología;Universidad de Granada;Facultad de Derecho;Granada;Andalucía;11,085;10,96;11,599;Universidad Complutense de Madrid;;Varios
Criminología;Universidad de Sevilla;Facultad de Derecho;Sevilla;Andalucía;10,806;10,99;11,599;Universidad Complutense de Madrid;;Varios
Criminología;Universidad Pablo de Olavide;Facultad de Derecho;Sevilla;Andalucía;10,551;10,8;11,599;Universidad Complutense de Madrid;;Varios
Criminología;Universidad de Málaga;Facultad de Derecho;Málaga;Andalucía;10,534;10,89;11,599;Universidad Complutense de Madrid;;Varios
Criminología y Seguridad;Universidad de Cádiz;Facultad de Derecho;Cádiz;Andalucía;10,012;9,83;10,012;Universidad de Cádiz;9,674;Universidad Jaume I de Castellón
Derecho;Universidad de Sevilla;Facultad de Derecho;Sevilla;Andalucía;10,15;9,88;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad Pablo de Olavide;Facultad de Derecho;Sevilla;Andalucía;10,116;5,0;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad de Málaga;Facultad de Derecho;Málaga;Andalucía;9,849;9,92;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad de Granada;Facultad de Derecho;Granada;Andalucía;9,141;8,35;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad de Cádiz;Facultad de Derecho;Cádiz;Andalucía;8,759;8,16;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad de Córdoba;Facultad de Derecho y Ciencias Económicas y Empresariales;Córdoba;Andalucía;8,363;6,34;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad de Almería;Facultad de Derecho;Almería;Andalucía;8,082;5,0;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad de Cádiz;Facultad de Derecho. Sede de Algeciras;Cádiz;Andalucía;7,611;5,0;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad de Jaén;Facultad de Ciencias Sociales y Jurídicas;Jaén;Andalucía;7,24;5,0;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad de Huelva;Facultad de Derecho;Huelva;Andalucía;5,984;5,0;11,975;Universidad Carlos III de Madrid;;Varios
Derecho;Universidad Pablo de Olavide;Centro Universitario San Isidoro (centro adscrito);Sevilla;Andalucía;5,0;5,0;11,975;Universidad Carlos III de Madrid;;Varios
Derecho / Ciencias Políticas y de la Administración;Universidad Pablo de Olavide;Facultad de Derecho;Sevilla;Andalucía;10,708;9,75;11,914;Universitat de València (Estudi General);8,582;Universidad Autónoma de Madrid
Derecho / Criminología;Universidad Pablo de Olavide;Facultad de Derecho;Sevilla;Andalucía;11,112;12,65;11,846;Universitat de València (Estudi General);10,789;Universidad de Málaga
Derecho / Criminología;Universidad de Málaga;Facultad de Derecho;Málaga;Andalucía;10,789;11,17;11,846;Universitat de València (Estudi General);10,789;Universidad de Málaga
Derecho / Criminología y Seguridad;Universidad de Cádiz;Facultad de Derecho;Cádiz;Andalucía;10,762;9,71;10,762;Universidad de Cádiz;10,762;Universidad de Cádiz
Derecho / Economía;Universidad de Sevilla;Facultad de Ciencias Económicas y Empresariales;Sevilla;Andalucía;12,422;12,47;12,739;Universidad Carlos III de Madrid;;Universidad de Castilla-La Mancha
Derecho / Filosofía;Universidad de Sevilla;Facultad de Derecho;Sevilla;Andalucía;10,543;10,14;10,543;Universidad de Sevilla;8,075;Universidad Complutense de Madrid
Derecho / Finanzas y Contabilidad;Universidad de Sevilla;Facultad de Derecho;Sevilla;Andalucía;10,65;9,98;10,65;Universidad de Sevilla;9,753;Universidad Pablo de Olavide
Derecho / Finanzas y Contabilidad;Universidad Pablo de Olavide;Facultad de Derecho;Sevilla;Andalucía;9,753;9,33;10,65;Universidad de Sevilla;9,753;Universidad Pablo de Olavide
Derecho / Gestión y Administración;Universidad de Almería;Facultad de Derecho;Almería;Andalucía;8,371;5,0;10,062;Universidad de Barcelona;8,371;Universidad de Almería
Derecho / Relaciones Laborales y Recursos Humanos;Universidad Pablo de Olavide;Facultad de Derecho;Sevilla;Andalucía;10,693;11,48;10,693;Universidad Pablo de Olavide;;Universidad de Cádiz
Derecho / Relaciones Laborales y Recursos Humanos;Universidad de Cádiz;Facultad de Derecho. Sede de Algeciras;Cádiz;Andalucía;5,0;5,0;10,693;Universidad Pablo de Olavide;;Universidad de Cádiz
Economía;Universidad de Sevilla;Facultad de Ciencias Económicas y Empresariales;Sevilla;Andalucía;8,654;8,85;12,161;Universidad Complutense de Madrid;;Varios
Economía;Universidad de Málaga;Facultad de Ciencias Económicas y Empresariales;Málaga;Andalucía;8,502;7,52;12,161;Universidad Complutense de Madrid;;Varios
Economía;Universidad de Granada;Facultad de Ciencias Económicas y Empresariales;Granada;Andalucía;8,032;5,0;12,161;Universidad Complutense de Madrid;;Varios
Economía;Universidad de Almería;Facultad de Ciencias Económicas y Empresariales;Almería;Andalucía;7,0;5,0;12,161;Universidad Complutense de Madrid;;Varios
Economía / Matemáticas;Universidad de Almería;Facultad de Ciencias Experimentales;Almería;Andalucía;10,868;5,0;12,764;Universidad Rey Juan Carlos;10,868;Universidad de Almería
Edificación;Universidad de Sevilla;Escuela Técnica Superior de Ingeniería de Edificación;Sevilla;Andalucía;5,0;5,0;7,27;Universidad Politécnica de Madrid;;Varios
Edificación;Universidad de Granada;Escuela Técnica Superior de Ingeniería de Edificación;Granada;Andalucía;5,0;5,0;7,27;Universidad Politécnica de Madrid;;Varios
Edificación / Administración y Dirección de Empresas;Universidad de Granada;Escuela Técnica Superior de Ingeniería de Edificación;Granada;Andalucía;9,397;6,01;9,397;Universidad de Granada;8,261;Universidad Politécnica de Madrid
Educación Infantil;Universidad de Sevilla;Facultad de Ciencias de la Educación;Sevilla;Andalucía;10,936;10,81;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Málaga;Facultad de Ciencias de la Educación;Málaga;Andalucía;9,75;10,08;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Cádiz;Facultad de Ciencias de la Educación;Cádiz;Andalucía;8,75;8,56;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Granada;Facultad de Ciencias de la Educación;Granada;Andalucía;8,418;8,07;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Huelva;Facultad de Educación, Psicología y Ciencias del Deporte;Huelva;Andalucía;8,33;8,08;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Córdoba;Facultad de Ciencias de la Educación y Psicología;Córdoba;Andalucía;7,42;8,1;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Almería;Facultad de Ciencias de la Educación;Almería;Andalucía;7,327;7,13;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Jaén;Facultad de Humanidades y Ciencias de la Educación;Jaén;Andalucía;6,92;8,39;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Cádiz;Centro de Magisterio Virgen de Europa (centro adscrito);Cádiz;Andalucía;5,0;5,0;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Córdoba;Centro Magisterio 'Sagrado Corazón' (centro adscrito);Córdoba;Andalucía;5,0;5,0;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Granada;Centro de Magisterio La Inmaculada (centro adscrito);Granada;Andalucía;5,0;5,0;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Jaén;Centro Universitario Sagrada Familia (Úbeda) (centro adscrito);Jaén;Andalucía;5,0;5,0;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Málaga;Centro de Magisterio María Inmaculada (Antequera) (centro adscrito);Málaga;Andalucía;5,0;5,0;10,936;Universidad de Sevilla;;Varios
Educación Infantil;Universidad de Sevilla;Centro Universitario de Osuna (centro adscrito);Sevilla;Andalucía;5,0;5,0;10,936;Universidad de Sevilla;;Varios
Educación Infantil / Educación Primaria;Universidad de Sevilla;Facultad de Ciencias de la Educación;Sevilla;Andalucía;13,066;13,08;13,066;Universidad de Sevilla;;Varios
Educación Infantil / Educación Primaria;Universidad de Sevilla;Centro Universitario de Osuna (centro adscrito);Sevilla;Andalucía;8,92;5,0;13,066;Universidad de Sevilla;;Varios
Educación Primaria;Universidad de Sevilla;Facultad de Ciencias de la Educación;Sevilla;Andalucía;10,443;10,42;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Málaga;Facultad de Ciencias de la Educación;Málaga;Andalucía;10,102;10,45;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Cádiz;Facultad de Ciencias de la Educación;Cádiz;Andalucía;9,8;9,68;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Granada;Facultad de Ciencias de la Educación;Granada;Andalucía;9,532;9,23;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Córdoba;Facultad de Ciencias de la Educación y Psicología;Córdoba;Andalucía;9,188;8,26;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Almería;Facultad de Ciencias de la Educación;Almería;Andalucía;8,754;8,02;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Huelva;Facultad de Educación, Psicología y Ciencias del Deporte;Huelva;Andalucía;8,25;7,95;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Sevilla;Centro Universitario de Osuna (centro adscrito);Sevilla;Andalucía;7,423;5,0;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Jaén;Facultad de Humanidades y Ciencias de la Educación;Jaén;Andalucía;6,925;6,89;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Cádiz;Centro de Magisterio Virgen de Europa (centro adscrito);Cádiz;Andalucía;5,0;5,0;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Córdoba;Centro Magisterio 'Sagrado Corazón' (centro adscrito);Córdoba;Andalucía;5,0;5,0;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Granada;Centro de Magisterio La Inmaculada (centro adscrito);Granada;Andalucía;5,0;5,0;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Jaén;Centro Universitario Sagrada Familia (Úbeda) (centro adscrito);Jaén;Andalucía;5,0;5,0;10,952;Universidad de Murcia;;Varios
Educación Primaria;Universidad de Málaga;Centro de Magisterio María Inmaculada (Antequera) (centro adscrito);Málaga;Andalucía;5,0;5,0;10,952;Universidad de Murcia;;Varios
